episode,timestep,reward
7,2000,-539.4517
16,4000,-313.3116
26,6000,-507.5803
35,8000,-259.3907
42,10000,-110.0552
50,12000,-201.6505
57,14000,-369.1091
64,16000,-167.0482
71,18000,-238.9281
78,20000,-80.7482
88,22000,82.0665
94,24000,-152.0615
103,26000,-40.224
112,28000,184.1684
121,30000,76.2922
126,32000,78.7722
133,34000,-103.7014
141,36000,-6.7613
151,38000,70.0221
160,40000,96.5704
166,42000,90.0904
175,44000,90.0901
183,46000,246.8436
189,48000,238.3407
198,50000,126.4769
207,52000,185.4216
216,54000,189.1666
224,56000,326.9206
234,58000,118.3822
242,60000,158.2737
251,62000,112.7928
259,64000,275.7842
270,66000,201.2475
279,68000,177.1303
288,70000,122.3363
297,72000,282.2687
306,74000,201.2633
314,76000,226.6879
323,78000,145.5502
331,80000,1.755
340,82000,0.7175
348,84000,172.7906
356,86000,174.6981
366,88000,167.9016
372,90000,230.4846
380,92000,168.0278
386,94000,223.7242
394,96000,102.25
402,98000,228.879
410,100000,198.3913
417,102000,282.6408
425,104000,322.638
431,106000,-49.02
439,108000,204.6643
447,110000,287.4012
456,112000,135.3456
464,114000,190.3799
473,116000,184.5713
479,118000,-327.8016
486,120000,271.2984
493,122000,-528.5768
502,124000,168.7359
511,126000,221.1154
518,128000,311.4145
527,130000,237.2099
535,132000,286.0326
543,134000,362.6137
551,136000,302.0033
559,138000,381.501
565,140000,298.7141
572,142000,114.7563
580,144000,337.2649
588,146000,359.2749
594,148000,116.0447
601,150000,217.2775
608,152000,239.1697
615,154000,318.9534
623,156000,301.494
631,158000,277.8288
638,160000,291.7939
646,162000,271.8216
653,164000,279.0441
660,166000,314.1264
668,168000,282.6398
675,170000,253.0801
683,172000,191.3616
691,174000,283.5987
699,176000,358.423
707,178000,312.1625
715,180000,326.2122
723,182000,408.4809
731,184000,333.2462
739,186000,344.1519
748,188000,331.1136
755,190000,343.3076
762,192000,276.4442
768,194000,298.3361
774,196000,328.6083
781,198000,360.4056
786,200000,252.7124
795,202000,337.9751
803,204000,383.3501
810,206000,69.2046
817,208000,392.467
824,210000,330.4854
831,212000,324.9344
837,214000,183.2158
843,216000,333.3278
849,218000,287.7678
857,220000,297.3734
863,222000,246.7113
869,224000,224.7397
875,226000,358.3603
881,228000,386.054
888,230000,354.1339
895,232000,311.5611
903,234000,348.531
910,236000,394.8035
917,238000,404.1622
923,240000,329.8443
930,242000,342.9936
937,244000,348.9128
945,246000,395.7197
953,248000,423.2917
961,250000,299.3221
969,252000,328.6471
978,254000,281.3014
985,256000,210.2365
994,258000,300.0111
1002,260000,323.0573
1010,262000,291.0919
1019,264000,251.7941
1026,266000,325.5098
1035,268000,379.2712
1043,270000,314.1509
1052,272000,333.4885
1060,274000,344.2401
1068,276000,333.8226
1076,278000,388.8574
1084,280000,378.7409
1093,282000,309.4297
1101,284000,357.0746
1108,286000,413.4751
1116,288000,415.0754
1124,290000,359.0311
1132,292000,396.6364
1139,294000,419.9424
1147,296000,408.689
1156,298000,333.012
1163,300000,386.8171
1171,302000,297.6375
1178,304000,341.3709
1186,306000,363.4641
1195,308000,367.8187
1203,310000,379.7203
1209,312000,26.2489
1217,314000,368.2815
1226,316000,322.0347
1235,318000,327.6948
1244,320000,310.7072
1252,322000,436.2755
1261,324000,385.3172
1270,326000,359.5519
1278,328000,218.0398
1288,330000,156.2298
1298,332000,330.3081
1307,334000,409.801
1316,336000,422.4172
1324,338000,333.3279
1332,340000,436.3278
1342,342000,242.7235
1351,344000,299.4993
1359,346000,397.2071
1367,348000,370.9676
1376,350000,373.2975
1385,352000,377.45
1395,354000,360.6064
1403,356000,410.9459
1412,358000,348.5207
1421,360000,382.8139
1430,362000,402.8685
1440,364000,336.5655
1448,366000,316.3037
1457,368000,81.8999
1467,370000,239.9381
1475,372000,194.7493
1485,374000,275.2634
1495,376000,287.5106
1504,378000,294.3027
1513,380000,281.9496
1521,382000,351.2118
1529,384000,328.1681
1538,386000,302.3824
1547,388000,324.2821
1557,390000,353.0535
1565,392000,-77.0716
1576,394000,284.4498
1586,396000,196.8995
1595,398000,209.3689
1603,400000,249.8709
1612,402000,185.7709
1621,404000,213.9083
1629,406000,347.4242
1638,408000,326.5005
1647,410000,283.9318
1657,412000,185.4465
1667,414000,337.2793
1677,416000,213.7784
1686,418000,291.5583
1697,420000,200.5405
1706,422000,379.1298
1716,424000,298.482
1727,426000,308.99
1736,428000,407.574
1746,430000,212.9604
1756,432000,318.3971
1764,434000,209.5131
1774,436000,414.3907
1785,438000,253.3342
1795,440000,267.8092
1805,442000,333.1439
1815,444000,334.7186
1825,446000,339.866
1835,448000,284.9736
1844,450000,393.0622
1853,452000,348.9611
1862,454000,252.0097
1870,456000,372.4586
1879,458000,370.6346
1889,460000,279.337
1897,462000,364.6798
1906,464000,360.6945
1915,466000,312.4173
1923,468000,291.762
1931,470000,224.9371
1941,472000,194.4311
1950,474000,278.9465
1959,476000,335.5396
1967,478000,376.7726
1975,480000,210.7778
1982,482000,55.7187
1989,484000,354.3282
1998,486000,343.0977
2005,488000,364.5073
2012,490000,371.973
2020,492000,137.3798
2027,494000,344.6408
2031,496000,-170.324
2038,498000,242.9571
2045,500000,311.1907
2051,502000,209.6449
2057,504000,264.357
2065,506000,307.697
2071,508000,392.8598
2079,510000,403.5187
2086,512000,380.1942
2091,514000,420.093
2100,516000,258.5016
2108,518000,367.5224
2116,520000,378.5556
2123,522000,308.4
2130,524000,184.4622
2137,526000,-343.1611
2146,528000,365.1993
2155,530000,378.3763
2164,532000,332.3323
2171,534000,291.4075
2180,536000,346.6852
2189,538000,302.1818
2198,540000,290.8822
2207,542000,304.3257
2215,544000,360.4866
2225,546000,253.9028
2233,548000,297.8654
2242,550000,325.5407
2250,552000,298.0478
2259,554000,236.7537
2268,556000,262.6637
2276,558000,277.6689
2285,560000,278.3486
2293,562000,374.3476
2302,564000,323.6598
2311,566000,297.1014
2320,568000,319.0711
2329,570000,378.3607
2338,572000,252.0715
2346,574000,357.1743
2355,576000,284.7568
2364,578000,153.9717
2374,580000,265.5234
2383,582000,338.7573
2392,584000,348.34
2402,586000,337.69
2412,588000,232.8416
2421,590000,341.5126
2430,592000,255.993
2438,594000,333.8608
2447,596000,286.2358
2456,598000,312.4295
2464,600000,411.8053
2474,602000,271.2981
2482,604000,275.6602
2489,606000,354.6176
2498,608000,365.748
2506,610000,360.6828
2515,612000,329.1284
2523,614000,334.9461
2533,616000,319.2984
2541,618000,434.9202
2550,620000,351.0136
2560,622000,279.0897
2568,624000,197.093
2577,626000,364.6699
2586,628000,311.3662
2594,630000,318.953
2603,632000,406.9744
2611,634000,382.6916
2619,636000,326.6565
2627,638000,285.3167
2637,640000,359.5603
2645,642000,423.4813
2654,644000,379.1696
2662,646000,415.6845
2670,648000,357.1944
2679,650000,388.7755
2687,652000,250.4793
2696,654000,454.3209
2704,656000,395.1949
2713,658000,389.3054
2722,660000,301.6941
2731,662000,256.6831
2740,664000,387.8461
2749,666000,414.5843
2758,668000,305.5272
2766,670000,354.4624
2775,672000,438.303
2784,674000,416.9184
2792,676000,343.0025
2800,678000,369.7151
2809,680000,313.7902
2816,682000,376.4614
2825,684000,389.9663
2833,686000,440.0188
2841,688000,353.5511
2849,690000,412.5017
2857,692000,360.1043
2865,694000,428.0604
2874,696000,386.6916
2882,698000,440.6894
2891,700000,412.9301
2900,702000,415.5234
2908,704000,381.7221
2917,706000,399.3214
2925,708000,377.7377
2934,710000,357.781
2942,712000,396.1709
2950,714000,446.1946
2958,716000,331.5068
2966,718000,368.5381
2975,720000,393.3021
2983,722000,399.456
2991,724000,420.3345
2999,726000,404.5316
3006,728000,409.7783
3013,730000,378.8182
3021,732000,400.2541
3027,734000,441.3286
3035,736000,383.5471
3040,738000,417.3779
3047,740000,443.2861
3054,742000,447.2227
3062,744000,436.0169
3070,746000,386.1307
3076,748000,433.901
3083,750000,438.8181
3090,752000,366.4223
3097,754000,450.7851
3104,756000,450.7771
3112,758000,359.9358
3120,760000,400.3501
3128,762000,393.0197
3136,764000,424.7581
3143,766000,270.779
3151,768000,365.7681
3159,770000,438.6395
3167,772000,404.4909
3175,774000,349.2103
3183,776000,367.6964
3191,778000,461.9187
3198,780000,401.5381
3205,782000,448.8941
3213,784000,361.4909
3222,786000,425.0296
3230,788000,386.9584
3238,790000,453.4082
3245,792000,399.453
3253,794000,428.9484
3260,796000,413.4555
3267,798000,358.0629
3275,800000,428.0308
3281,802000,446.1594
3289,804000,400.834
3296,806000,426.7282
3303,808000,379.0005
3309,810000,417.1566
3315,812000,412.324
3321,814000,347.5149
3328,816000,379.0064
3334,818000,391.7694
3340,820000,441.0902
3347,822000,421.4758
3353,824000,434.1488
3360,826000,348.1418
3365,828000,324.9337
3372,830000,393.3599
3378,832000,435.7573
3385,834000,391.6401
3391,836000,295.9418
3398,838000,447.8331
3406,840000,433.8492
3413,842000,424.478
3420,844000,441.1053
3427,846000,454.127
3435,848000,448.9649
3444,850000,380.722
3452,852000,439.3297
3459,854000,409.4895
3466,856000,388.6161
3474,858000,343.6371
3483,860000,417.1966
3490,862000,445.1182
3498,864000,428.8773
3505,866000,420.9958
3512,868000,350.5609
3519,870000,396.5451
3528,872000,434.7687
3535,874000,409.525
3542,876000,412.3798
3548,878000,350.4126
3555,880000,322.2121
3563,882000,398.8607
3570,884000,413.4431
3577,886000,431.3688
3584,888000,312.0408
3591,890000,416.8503
3599,892000,409.6841
3606,894000,409.4005
3613,896000,421.5457
3620,898000,416.6058
3627,900000,377.7055
3634,902000,406.6388
3641,904000,455.4388
3648,906000,379.4961
3656,908000,423.2637
3663,910000,389.3404
3670,912000,428.8214
3677,914000,436.8
3685,916000,432.3232
3693,918000,328.1903
3701,920000,421.6793
3709,922000,449.9945
3715,924000,416.4822
3724,926000,439.1966
3731,928000,438.6229
3739,930000,406.2625
3747,932000,468.0975
3754,934000,264.433
3763,936000,368.9625
3772,938000,442.3801
3781,940000,390.0841
3790,942000,376.973
3799,944000,450.7411
3808,946000,370.1507
3816,948000,398.9737
3826,950000,420.1417
3833,952000,409.9065
3841,954000,426.5939
3850,956000,437.7546
3857,958000,384.4963
3865,960000,441.1671
3873,962000,435.4829
3882,964000,445.7038
3889,966000,444.6192
3898,968000,430.051
3906,970000,463.4719
3913,972000,368.6383
3922,974000,433.6333
3930,976000,457.6853
3938,978000,411.939
3946,980000,458.7325
3955,982000,403.33
3963,984000,319.8784
3972,986000,441.8695
3979,988000,422.42
3988,990000,445.0214
3996,992000,385.4218
4005,994000,379.1186
4013,996000,410.0187
4021,998000,404.7917
4029,1000000,430.6027
4037,1002000,387.3748
4046,1004000,431.7901
4054,1006000,448.083
4062,1008000,384.2873
4070,1010000,325.0276
4078,1012000,391.0015
4086,1014000,401.4908
4094,1016000,464.9706
4102,1018000,414.9964
4111,1020000,338.6578
4120,1022000,423.5071
4128,1024000,413.4172
4137,1026000,270.5027
4147,1028000,345.7552
4154,1030000,468.0497
4163,1032000,381.6374
4173,1034000,426.9704
4182,1036000,428.4388
4191,1038000,416.9351
4199,1040000,416.3061
4208,1042000,417.662
4216,1044000,425.7906
4224,1046000,457.1736
4232,1048000,424.9477
4242,1050000,420.1541
4249,1052000,411.8889
4258,1054000,403.5447
4266,1056000,450.1143
4274,1058000,441.0755
4283,1060000,425.4777
4290,1062000,439.1437
4300,1064000,394.9532
4309,1066000,357.8613
4317,1068000,448.0826
4325,1070000,417.7123
4334,1072000,375.4056
4342,1074000,445.4408
4349,1076000,374.7252
4357,1078000,430.1319
4366,1080000,434.658
4374,1082000,357.5966
4381,1084000,418.5761
4389,1086000,392.8493
4398,1088000,400.6593
4408,1090000,413.3391
4415,1092000,348.1319
4424,1094000,394.6519
4432,1096000,350.0065
4440,1098000,466.93
4448,1100000,369.4167
4457,1102000,319.9818
4466,1104000,416.5324
4474,1106000,411.0142
4483,1108000,430.1329
4491,1110000,409.2607
4500,1112000,448.7946
4507,1114000,364.204
4516,1116000,394.3909
4525,1118000,423.1395
4533,1120000,396.3523
4542,1122000,383.8355
4549,1124000,372.9188
4557,1126000,432.2088
4565,1128000,365.5144
4573,1130000,448.6165
4580,1132000,457.4604
4587,1134000,360.4304
4595,1136000,391.9979
4603,1138000,417.7759
4612,1140000,361.8214
4620,1142000,440.2176
4627,1144000,446.3731
4635,1146000,398.4511
4644,1148000,389.5947
4653,1150000,355.2162
4660,1152000,456.6612
4669,1154000,407.3191
4676,1156000,365.9832
4685,1158000,459.5912
4693,1160000,443.7921
4701,1162000,310.4565
4710,1164000,435.1156
4719,1166000,453.4868
4727,1168000,432.2907
4735,1170000,449.2085
4744,1172000,410.5363
4752,1174000,440.8137
4760,1176000,432.1115
4768,1178000,427.807
4776,1180000,410.8684
4784,1182000,459.63
4792,1184000,396.0134
4800,1186000,438.4851
4809,1188000,407.5246
4817,1190000,430.3274
4826,1192000,426.0585
4834,1194000,446.6087
4841,1196000,399.5072
4849,1198000,433.3268
4858,1200000,443.6478
4866,1202000,439.0108
4874,1204000,398.7488
4882,1206000,396.3372
4889,1208000,456.2256
4897,1210000,429.1342
4905,1212000,422.679
4913,1214000,333.2787
4921,1216000,449.0297
4929,1218000,376.4254
4937,1220000,427.2227
4945,1222000,432.4723
4953,1224000,459.0246
4961,1226000,433.6242
4969,1228000,445.6702
4977,1230000,457.3066
4985,1232000,414.2886
4994,1234000,365.7485
5002,1236000,455.1193
5011,1238000,427.8281
5020,1240000,387.3802
5029,1242000,359.8351
5037,1244000,451.2901
5046,1246000,461.1081
5055,1248000,444.7875
5063,1250000,432.743
5071,1252000,445.7118
5079,1254000,469.387
5087,1256000,372.5678
5094,1258000,414.1112
5102,1260000,353.2312
5110,1262000,346.7174
5118,1264000,427.4188
5126,1266000,421.848
5134,1268000,439.8638
5142,1270000,454.6982
5150,1272000,394.6401
5158,1274000,455.4905
5167,1276000,413.3168
5176,1278000,454.6068
5184,1280000,331.3198
5193,1282000,452.6006
5202,1284000,343.2596
5210,1286000,415.2282
5218,1288000,414.2382
5226,1290000,425.3888
5235,1292000,425.1077
5243,1294000,445.8984
5252,1296000,366.9765
5261,1298000,360.2294
5270,1300000,402.3316
5279,1302000,453.1332
5288,1304000,385.7198
5297,1306000,438.085
5306,1308000,366.3471
5314,1310000,387.0607
5323,1312000,451.0848
5332,1314000,349.0478
5341,1316000,432.149
5349,1318000,437.7183
5357,1320000,388.2879
5366,1322000,434.3705
5375,1324000,446.8948
5383,1326000,365.8849
5391,1328000,397.8088
5401,1330000,404.6816
5410,1332000,422.3313
5419,1334000,439.3202
5428,1336000,381.4605
5436,1338000,387.431
5445,1340000,368.3364
5455,1342000,411.9069
5464,1344000,371.3585
5472,1346000,448.5635
5481,1348000,448.613
5490,1350000,396.9895
5499,1352000,462.165
